,Under_NearMiss,Over_SMOTE,Hybrid_SMOTETomek
Ridge,3.19,4.26,4.65
ExtraTree,2.78,6.67,5.0
GradientBoost,1.27,0.0,0.0
AdaBoost,1.44,0.0,0.0
NaiveBayes,1.81,3.28,3.08
